province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Henan,China,83,1,0,0,33.882,113.614,2020-01-26,-21,-1,1,84,1.1904761904761905,1400812636,0.0001472,0.0000035,0.000004,0.00000600,5
Chongqing,China,75,0,0,0,30.0572,107.874,2020-01-26,-8,0,-1,75,0,1400812636,0.0001472,0.0000035,0.000004,0.00000535,5
Hunan,China,69,0,0,0,27.6104,111.7088,2020-01-26,-6,0,0,69,0,1400812636,0.0001472,0.0000035,0.000004,0.00000493,5
Beijing,China,68,0,2,0,40.1824,116.4142,2020-01-26,-1,2,0,70,0,1400812636,0.0001472,0.0000035,0.000004,0.00000500,5
Anhui,China,60,0,0,0,31.8257,117.2264,2020-01-26,-8,-2,0,60,0,1400812636,0.0001472,0.0000035,0.000004,0.00000428,5
Shandong,China,46,0,0,0,36.3427,118.1498,2020-01-26,-14,0,0,46,0,1400812636,0.0001472,0.0000035,0.000004,0.00000328,5
Sichuan,China,44,0,0,0,30.6171,102.7103,2020-01-26,-2,0,0,44,0,1400812636,0.0001472,0.0000035,0.000004,0.00000314,5
Shanghai,China,40,1,1,0,31.202,121.4491,2020-01-26,-4,1,1,42,2.380952380952381,1400812636,0.0001472,0.0000035,0.000004,0.00000300,5
Guangxi,China,36,0,0,0,23.8298,108.7881,2020-01-26,-4,-1,-1,36,0,1400812636,0.0001472,0.0000035,0.000004,0.00000257,5
Jiangxi,China,36,0,0,0,27.614,115.7221,2020-01-26,0,0,0,36,0,1400812636,0.0001472,0.0000035,0.000004,0.00000257,5
Fujian,China,35,0,0,0,26.0789,117.9874,2020-01-26,-1,0,0,35,0,1400812636,0.0001472,0.0000035,0.000004,0.00000250,5
Jiangsu,China,33,0,1,0,32.9711,119.455,2020-01-26,-2,1,0,34,0,1400812636,0.0001472,0.0000035,0.000004,0.00000243,5
Hainan,China,22,0,0,0,19.1959,109.7453,2020-01-26,-11,-1,0,22,0,1400812636,0.0001472,0.0000035,0.000004,0.00000157,5
Shaanxi,China,22,0,0,0,35.1917,108.8701,2020-01-26,0,0,0,22,0,1400812636,0.0001472,0.0000035,0.000004,0.00000157,5
Liaoning,China,21,0,0,0,41.2956,122.6085,2020-01-26,-1,0,0,21,0,1400812636,0.0001472,0.0000035,0.000004,0.00000150,5
Yunnan,China,16,0,0,0,24.974,101.487,2020-01-26,-5,0,0,16,0,1400812636,0.0001472,0.0000035,0.000004,0.00000114,5
Heilongjiang,China,15,1,0,0,47.862,127.7615,2020-01-26,-1,0,1,16,6.25,1400812636,0.0001472,0.0000035,0.000004,0.00000114,5
Tianjin,China,14,0,0,0,39.3054,117.323,2020-01-26,-1,0,-1,14,0,1400812636,0.0001472,0.0000035,0.000004,0.00000100,5
Hebei,China,13,1,0,0,38.0428,114.5149,2020-01-26,-1,0,1,14,7.142857142857142,1400812636,0.0001472,0.0000035,0.000004,0.00000100,5
Shanxi,China,9,0,0,0,37.5777,112.2922,2020-01-26,-4,0,-1,9,0,1400812636,0.0001472,0.0000035,0.000004,0.00000064,5
Inner Mongolia,China,7,0,0,0,44.0935,113.9448,2020-01-26,-1,0,0,7,0,1400812636,0.0001472,0.0000035,0.000004,0.00000050,5
Gansu,China,7,0,0,0,36.0611,103.8343,2020-01-26,0,0,0,7,0,1400812636,0.0001472,0.0000035,0.000004,0.00000050,5
Guizhou,China,5,0,0,0,26.8154,106.8748,2020-01-26,-2,0,0,5,0,1400812636,0.0001472,0.0000035,0.000004,0.00000036,5
Ningxia,China,4,0,0,0,37.2692,106.1655,2020-01-26,-1,0,0,4,0,1400812636,0.0001472,0.0000035,0.000004,0.00000029,5
Jilin,China,4,0,0,0,43.6661,126.1923,2020-01-26,0,0,0,4,0,1400812636,0.0001472,0.0000035,0.000004,0.00000029,5
